credit.policy,purpose,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid
1,home_improvement,0.1253,267.74,10.77895629,4.97,772,4383.0,2958,7.6,7,0,0,0
1,debt_consolidation,0.1568,245.02,10.73639668,20.87,677,2339.958333,5546,97.3,0,0,0,0
1,all_other,0.1222,165.77,11.42954386,5.06,722,6389.958333,5424,98.6,0,0,0,0
1,all_other,0.1426,144.09,10.12647109,5.14,687,3420.0,0,0.0,3,2,0,0
1,all_other,0.1253,66.94,11.04132055,4.02,677,2130.0,8160,54.0,2,0,1,0
1,all_other,0.1183,79.53,10.81577026,6.94,702,3599.958333,107,8.9,1,0,0,0
1,credit_card,0.1103,245.65,10.96819829,21.12,717,4619.958333,36605,91.1,0,0,0,0
1,educational,0.1008,226.14,10.40426284,18.91,717,3480.958333,9379,10.9,0,1,0,0
1,debt_consolidation,0.1287,470.87,10.96819829,4.3,707,3239.958333,8752,53.0,0,0,0,0
1,small_business,0.1531,417.79,11.20582949,10.39,742,2785.958333,2577,6.3,1,0,0,0
1,credit_card,0.0945,160.05,10.59663473,5.97,722,2819.041667,3212,35.7,1,1,0,0
1,all_other,0.0894,381.26,11.60823564,7.3,807,4979.958333,1,0.1,0,0,0,0
1,debt_consolidation,0.1411,342.29,11.1124479,6.86,682,5249.958333,9583,77.3,1,0,0,0
1,major_purchase,0.1114,196.83,11.08214255,0.52,782,3420.041667,906,11.6,0,0,0,0
1,credit_card,0.0859,189.67,10.77895629,12.65,757,2370.041667,119,0.5,1,0,0,0
1,credit_card,0.1221,346.48,11.32962743,13.81,722,3150.0,17610,76.9,0,0,0,0
1,home_improvement,0.0963,481.42,10.30895266,4.08,817,8250.041667,24665,5.3,0,0,0,0
1,debt_consolidation,0.1322,338.01,10.49127422,8.3,687,2280.041667,8989,36.2,0,0,0,0
0,educational,0.16,70.32,10.1266311,18.72,687,3660.0,3811,15.6,8,0,0,0
1,debt_consolidation,0.1682,675.68,10.81977828,18.41,667,4890.041667,9246,85.6,2,0,1,0
1,all_other,0.0859,126.45,11.05089001,16.97,742,5675.958333,2187,25.7,0,0,0,0
1,debt_consolidation,0.1496,658.26,10.78692446,17.34,687,3540.0,23533,46.3,2,0,0,0
1,debt_consolidation,0.08,159.82,10.93310697,7.85,747,4080.041667,2839,35.0,0,0,0,0
1,small_business,0.1496,346.47,11.08214255,20.77,667,4020.0,9710,58.1,2,0,0,0
1,home_improvement,0.0894,317.72,10.15812977,0.0,797,4500.0,0,0.0,0,0,0,0
1,credit_card,0.08,188.02,10.69194491,16.96,757,4440.0,3628,9.3,0,0,0,0
1,debt_consolidation,0.1114,377.25,11.88448902,3.32,757,4200.0,11484,52.0,0,0,0,0
1,major_purchase,0.1442,206.3,11.02190247,14.75,672,2371.041667,9184,58.5,3,0,0,0
1,credit_card,0.1134,118.44,10.46310334,14.47,687,2339.958333,7722,48.9,0,0,0,0
1,debt_consolidation,0.1114,352.64,10.23995979,21.0,727,7800.0,8850,52.1,1,0,0,0
1,credit_card,0.0894,317.72,10.91501573,12.76,742,3240.0,10041,47.8,2,0,0,0
0,debt_consolidation,0.1287,252.25,10.54323396,15.08,697,3276.0,19216,70.9,4,0,0,0
1,home_improvement,0.0988,644.21,11.31447453,8.25,792,8506.0,16835,15.8,1,0,0,0
1,debt_consolidation,0.1809,904.88,11.57119437,16.37,672,5106.0,22792,76.7,2,0,0,0
1,debt_consolidation,0.1496,103.94,10.50506754,23.84,677,1410.0,2207,45.0,1,0,0,0
1,debt_consolidation,0.1148,494.53,11.65268741,22.88,737,14009.95833,50282,10.9,0,0,0,0
1,debt_consolidation,0.1114,295.24,10.89673933,17.47,732,7140.041667,19109,38.0,2,0,0,0
1,debt_consolidation,0.1183,99.41,10.84894866,9.43,692,5765.958333,5492,70.9,2,0,0,0
1,debt_consolidation,0.1253,167.34,9.862665558,12.06,687,2190.0,2365,60.6,0,0,0,0
1,debt_consolidation,0.1355,254.7,10.645424900000002,16.46,662,4439.958333,13779,59.4,1,0,0,0
1,credit_card,0.1158,495.21,11.51292546,23.7,727,5040.0,30929,65.9,2,0,0,0
1,major_purchase,0.1357,163.05,12.4292162,0.89,682,2190.0,9299,67.4,2,0,0,0
1,debt_consolidation,0.1379,170.38,11.69524702,3.02,667,3289.0,4339,13.7,1,3,0,0
1,debt_consolidation,0.1357,339.69,10.74903388,21.17,702,4229.958333,9114,57.0,0,0,0,0
0,credit_card,0.1103,245.65,10.71441777,11.41,687,4830.0,5148,12.7,7,0,0,0
1,all_other,0.08,313.37,11.00209984,0.36,792,2520.0,1858,12.7,0,0,0,0
1,home_improvement,0.1525,347.88,11.00209984,1.28,702,1290.041667,4980,55.3,1,0,0,0
1,debt_consolidation,0.1513,173.65,10.93339264,21.32,667,3600.041667,22210,98.3,0,0,0,0
1,debt_consolidation,0.1545,348.87,10.91501573,13.16,662,7979.0,22122,78.7,2,0,0,0
1,debt_consolidation,0.1287,437.24,11.26446411,6.26,702,5249.958333,1783,59.4,2,0,0,0
1,all_other,0.1347,409.62,11.63539085,10.02,707,4169.958333,20460,39.8,1,0,0,0
1,credit_card,0.1033,226.96,11.13616442,8.62,722,2789.958333,22595,61.9,1,0,0,0
1,major_purchase,0.1178,198.66,10.645424900000002,10.6,692,3090.041667,1878,81.7,1,0,0,0
1,all_other,0.1426,686.12,11.45158183,24.77,687,3690.0,17816,70.4,0,0,0,0
1,all_other,0.08,206.83,10.82177629,12.86,762,12330.0,3339,16.9,1,0,0,0
1,all_other,0.0705,494.4,12.20607265,6.94,737,7983.0,64266,60.8,0,0,0,0
1,educational,0.1284,336.18,11.51292546,17.26,687,3243.0,6435,23.0,2,0,1,0
1,debt_consolidation,0.1392,327.72,11.19821472,13.55,682,8430.0,618,1.8,0,1,0,0
1,all_other,0.1531,334.23,11.16761428,21.31,672,4023.0,34009,90.7,0,0,0,0
1,all_other,0.08,313.37,10.27467173,2.24,792,14100.0,2751,16.7,0,0,0,0
0,all_other,0.0976,289.4,11.08723724,17.12,727,4560.0,44248,22.8,4,0,0,0
1,major_purchase,0.1222,145.78,10.24313332,17.63,677,2550.0,7474,35.8,2,1,0,0
1,all_other,0.1304,202.28,11.77528973,11.06,672,8192.041667,42125,50.7,3,0,0,0
1,all_other,0.16,140.63,10.62619354,19.63,667,1470.0,5277,97.7,1,0,0,0
1,all_other,0.0705,494.4,12.39617634,6.4,802,5430.0,74927,13.9,0,0,0,0
1,credit_card,0.1159,80.9,11.35040654,13.19,682,7499.958333,44198,51.9,0,0,0,0
1,major_purchase,0.1062,716.32,12.24135291,5.34,747,10050.04167,47992,30.5,4,0,0,0
1,all_other,0.0774,156.1,11.15625052,2.11,767,4140.041667,2663,22.2,0,0,0,0
0,all_other,0.1103,98.26,10.59663473,3.09,677,1291.958333,3127,104.2,0,0,0,0
1,debt_consolidation,0.1635,565.27,12.14950229,18.76,662,7140.041667,31742,84.4,0,1,0,0
1,debt_consolidation,0.1191,87.91,10.51686074,19.77,677,4559.958333,10679,55.3,1,0,1,0
1,debt_consolidation,0.133,67.68,9.798127037,22.0,662,1470.0,1042,37.2,3,1,0,0
1,debt_consolidation,0.1071,195.61,10.62132735,12.38,697,3620.0,21196,46.2,3,0,0,0
1,small_business,0.1461,655.03,11.38736224,5.56,792,9636.0,14653,44.3,3,0,0,0
0,major_purchase,0.1071,84.77,9.83734775,0.64,682,209.0416667,287,28.7,4,0,0,0
0,all_other,0.0901,95.42,10.46310334,10.0,717,4770.0,0,14.0,3,0,0,0
1,debt_consolidation,0.1114,239.47,10.19351188,21.32,717,3331.041667,6528,72.5,0,0,0,0
1,all_other,0.0894,95.32,10.37349118,6.9,732,3450.0,11247,57.7,1,0,0,0
1,credit_card,0.1316,216.13,11.28978191,17.16,697,4950.0,22630,53.9,1,0,0,0
0,debt_consolidation,0.16,175.79,11.26070062,22.9,672,3810.0,6632,26.8,5,0,1,0
1,debt_consolidation,0.0751,155.55,10.35469055,11.58,737,2071.041667,2493,9.9,2,0,0,0
0,debt_consolidation,0.1474,552.59,11.39863632,3.63,732,5549.958333,15306,51.2,7,0,0,0
1,home_improvement,0.1392,573.5,11.09522582,17.49,687,4620.041667,19158,64.7,1,1,0,0
1,debt_consolidation,0.1154,329.95,12.32385568,20.0,727,10292.0,107501,44.8,2,0,0,0
0,debt_consolidation,0.1324,202.86,10.645424900000002,25.14,717,5970.041667,19937,90.6,0,0,0,0
0,credit_card,0.1261,184.29,10.16585182,6.46,667,960.0416667000002,5153,65.2,1,0,0,0
1,major_purchase,0.1099,57.29,10.30895266,7.76,687,4650.041667,1967,18.2,0,1,0,0
1,all_other,0.0751,171.11,10.45322615,20.39,742,7200.041667,14493,19.5,1,0,0,0
1,all_other,0.1148,80.78,11.00209984,18.66,702,9360.041667,14626,51.5,1,0,0,0
1,debt_consolidation,0.1322,371.81,10.80523301,15.54,692,4080.0,11922,62.7,1,0,0,0
1,debt_consolidation,0.138,255.61,11.12726298,18.16,667,2280.0,16860,63.6,1,0,0,0
1,all_other,0.1336,101.61,10.34595939,17.46,662,1860.041667,4922,65.6,0,0,0,0
1,debt_consolidation,0.1287,336.34,10.77895629,16.18,702,1860.0,5029,58.5,0,0,0,0
1,major_purchase,0.1134,118.44,10.91508846,13.51,682,3510.0,623,31.1,0,0,0,0
0,small_business,0.16,84.38,11.15625052,0.93,702,721.0,2024,14.6,1,0,0,0
1,debt_consolidation,0.1357,101.91,11.15625052,5.69,672,6770.041667,3275,21.0,1,3,0,0
0,debt_consolidation,0.1461,549.88,10.79507567,21.45,687,10252.0,19469,34.3,5,0,0,0
0,debt_consolidation,0.1545,122.11,10.52325726,28.66,697,5580.041667,22670,77.5,1,0,0,0
1,debt_consolidation,0.1183,430.75,11.5806215,13.2,717,3270.0,38433,56.5,1,0,0,0
0,debt_consolidation,0.1669999999999999,248.51,10.95080655,0.21,672,2071.041667,178,8.5,7,0,0,0
1,major_purchase,0.1103,327.53,10.73891524,13.04,702,8159.958333,5394,53.4,1,0,0,0
1,all_other,0.1253,334.67,10.818177,3.37,717,2626.0,8158,31.5,0,0,0,0
1,debt_consolidation,0.1095,314.06,11.94475983,8.75,732,3119.958333,33147,34.9,2,0,0,0
1,debt_consolidation,0.0768,93.58,11.15625052,8.78,762,3630.0,2211,6.2,0,0,0,0
0,debt_consolidation,0.1059,781.08,12.01370075,18.76,732,8310.0,81617,32.7,4,1,0,0
1,debt_consolidation,0.1635,565.27,11.28978191,9.63,692,3270.0,17199,98.3,1,0,0,0
1,credit_card,0.1438,687.25,11.32659589,16.05,667,2190.0,27293,86.6,0,0,0,0
1,credit_card,0.0859,162.01,11.26446411,24.12,742,8639.958333,13930,50.1,0,0,0,0
1,all_other,0.074,49.7,10.41331268,3.46,752,3330.041667,2201,5.0,2,0,0,0
1,debt_consolidation,0.1114,262.43,10.858999,19.06,762,10710.0,2477,18.2,5,0,0,0
1,credit_card,0.1071,228.22,10.30895266,21.48,722,10110.0,24397,53.4,1,0,0,0
1,debt_consolidation,0.1496,554.32,11.28978191,24.63,677,4412.0,21557,68.0,1,0,0,0
0,all_other,0.1122,131.38,9.574983486,1.67,672,1289.958333,74,37.0,4,0,0,0
0,all_other,0.1379,85.19,10.49127422,19.0,707,3180.0,8035,96.8,5,0,0,0
1,all_other,0.1114,328.04,10.858999,22.08,732,3960.0,6934,34.2,3,0,0,0
1,all_other,0.0894,190.63,10.26813067,15.08,722,2220.0,3322,21.3,0,0,0,0
1,home_improvement,0.138,177.22,12.20607265,3.07,662,8370.0,13793,57.7,0,2,0,0
0,debt_consolidation,0.147,324.48,11.17043516,21.58,657,2984.0,1992,18.3,3,6,0,0
1,debt_consolidation,0.1008,323.05,10.48192509,21.57,747,4889.958333,16973,26.4,0,0,0,0
0,debt_consolidation,0.1531,69.64,11.184421400000002,21.2,667,4350.0,12236,91.3,5,0,0,0
1,debt_consolidation,0.1474,518.06,11.3736634,23.49,682,4500.041667,28766,0.1,1,0,0,0
1,credit_card,0.1357,509.53,11.00209984,17.22,692,2850.0,13030,66.6,1,0,0,0
1,debt_consolidation,0.1557,419.35,10.73639668,12.5,667,1860.041667,12376,97.4,1,0,0,0
1,credit_card,0.1103,147.39,10.75790288,20.81,707,4350.0,25469,98.5,1,0,0,0
1,educational,0.1062,97.68,10.18490001,10.6,717,3840.041667,7154,68.8,0,0,0,0
1,small_business,0.1843,188.22,10.1266311,20.64,662,3780.0,16177,67.6,2,0,0,0
1,educational,0.1284,504.27,11.16194854,11.42,722,4920.041667,27576,73.7,1,0,0,0
1,credit_card,0.0832,251.88,11.82041016,8.63,752,6149.041667,13238,23.0,1,0,0,0
0,debt_consolidation,0.1565,174.94,10.34415892,23.48,662,1863.041667,2700,75.0,5,0,0,0
1,debt_consolidation,0.0676,129.24,10.59663473,19.83,777,11370.0,12308,22.8,0,0,0,0
1,debt_consolidation,0.08,188.02,10.18490001,12.14,762,2040.041667,1491,5.5,0,0,0,0
1,credit_card,0.1253,267.74,11.28426673,7.81,692,3780.041667,10750,47.1,0,0,0,0
0,home_improvement,0.2052,681.19,13.01700286,14.1,697,3539.958333,27286,56.5,10,1,0,0
1,all_other,0.1287,336.34,11.04132055,13.63,712,2340.0,5338,86.1,1,0,0,0
1,debt_consolidation,0.1001,69.39,10.46310334,1.2,722,3330.0,2400,35.8,0,0,0,0
1,home_improvement,0.0768,155.95,10.59663473,11.49,797,6959.958333,257,1.4,0,0,0,0
1,debt_consolidation,0.1126,492.95,11.00209984,14.86,732,4169.958333,16439,57.9,0,0,0,0
1,all_other,0.074,77.65,10.37349118,11.48,762,2910.0,1641,14.9,0,0,0,0
1,debt_consolidation,0.1287,373.33,11.04292184,19.99,692,3450.041667,9505,59.8,0,0,0,0
1,all_other,0.1221,133.26,10.71441777,19.81,712,3090.041667,9754,61.3,1,0,0,0
1,debt_consolidation,0.1025,777.24,11.06663836,7.59,782,6300.041667,14882,28.2,0,0,0,0
1,all_other,0.08,100.28,10.30895266,2.84,762,2550.0,179,0.5,1,0,0,0
0,debt_consolidation,0.1545,293.05,11.35040654,15.71,642,4200.0,14578,99.2,3,2,0,0
1,all_other,0.0788,31.29,11.184421400000002,17.15,717,3690.0,23572,66.6,1,0,0,0
0,major_purchase,0.138,109.06,10.86856845,17.44,652,3930.0,5070,64.2,1,3,0,0
1,all_other,0.1114,426.45,10.81977828,14.06,742,4410.0,12878,50.9,1,0,0,0
1,small_business,0.1284,403.42,11.35040654,11.87,727,1559.958333,7951,41.8,2,0,0,0
0,debt_consolidation,0.1122,131.38,10.40426284,15.27,672,2700.0,3323,32.6,4,0,0,0
1,credit_card,0.0859,126.45,10.34817337,12.0,747,3150.041667,3933,51.7,0,0,0,0
1,debt_consolidation,0.1253,510.37,10.42228135,19.21,712,3780.041667,7645,41.9,1,1,0,0
1,credit_card,0.0932,319.47,10.53209621,16.64,752,3900.0,20738,40.6,0,0,0,0
1,all_other,0.0774,202.93,11.192720199999998,13.72,757,3690.041667,10257,24.0,0,0,0,0
1,credit_card,0.08,250.69,10.91508846,13.51,772,3089.958333,8507,13.0,2,0,0,0
1,all_other,0.1392,51.21,10.81977828,17.04,672,3900.041667,4376,93.1,2,0,0,0
1,credit_card,0.1347,488.49,11.03488966,10.35,702,1829.958333,17499,60.0,0,0,0,0
1,credit_card,0.0938,399.72,11.29476946,3.67,772,4410.0,6495,0.0,1,0,0,0
1,all_other,0.1347,169.62,11.28983191,3.67,697,5100.0,3048,33.9,0,1,0,0
1,all_other,0.0996,290.24,10.54534144,3.38,697,1782.0,3305,55.1,2,0,0,0
1,debt_consolidation,0.1103,166.23,11.40756495,17.71,692,3480.0,39307,86.0,0,0,0,0
1,home_improvement,0.1253,502.0,11.56171563,13.78,707,4410.0,21702,46.7,3,0,0,0
1,debt_consolidation,0.1273,335.67,10.46310334,8.71,702,4530.041667,6907,29.3,0,0,0,0
1,all_other,0.074,124.24,10.87237073,17.24,782,9089.958333,2765,9.4,1,0,0,0
1,debt_consolidation,0.0894,203.34,10.2791805,18.13,732,2462.958333,8713,41.3,1,0,0,0
1,small_business,0.1913,110.17,11.00209984,1.08,702,5100.0,1965,98.2,0,0,1,0
1,debt_consolidation,0.1531,417.79,11.13453063,13.1,672,4020.0,14606,92.4,1,1,0,0
1,all_other,0.1025,194.31,10.49127422,14.9,762,8882.041667,17905,56.0,0,0,0,0
0,debt_consolidation,0.1362,81.59,10.77058804,15.53,647,1470.0,1233,35.2,1,0,0,0
1,all_other,0.0737,111.77,10.694079,12.38,772,2010.0,1060,8.6,2,0,0,0
1,small_business,0.1316,151.97,10.96819829,2.13,692,2040.0,4824,38.3,0,0,0,0
1,debt_consolidation,0.1442,343.83,11.00209984,3.68,667,14133.0,6383,30.1,1,2,0,0
1,debt_consolidation,0.1392,307.24,10.30895266,12.04,692,1444.0,7171,59.3,0,0,0,0
0,debt_consolidation,0.1324,67.62,10.37349118,6.94,652,3180.0,2324,12.9,1,2,2,0
1,debt_consolidation,0.1411,684.58,12.15477935,21.4,682,5430.0,12531,30.1,2,0,0,0
1,major_purchase,0.074,37.28,11.00209984,6.8,762,7982.958333,37459,6.5,2,0,0,0
1,debt_consolidation,0.1392,546.2,11.60823564,15.36,687,3060.0,23839,59.3,1,2,0,0
1,debt_consolidation,0.1357,339.69,11.48246626,16.96,682,3839.958333,9063,26.1,1,3,0,0
1,major_purchase,0.1505,156.12,11.31447453,11.56,667,3630.0,0,0.0,1,2,1,0
1,educational,0.0774,156.1,10.30895266,17.28,752,2612.041667,20385,18.5,0,0,0,0
1,all_other,0.1347,50.89,9.798127037,21.47,707,1289.958333,865,86.5,0,0,0,0
1,credit_card,0.1241,614.76,11.59910316,14.38,702,5640.041667,56969,89.6,1,0,0,0
1,credit_card,0.08,310.24,11.52682837,3.19,777,8370.0,1715,8.2,1,0,0,0
0,debt_consolidation,0.1474,259.03,9.903487553,15.54,692,1320.0,3642,30.3,5,0,0,0
1,educational,0.1241,267.29,9.903487553,0.6,762,1440.0,2000,11.4,0,0,0,0
0,debt_consolidation,0.1607,114.38,10.64998591,16.64,672,5910.0,11854,71.9,7,0,1,0
1,all_other,0.1189,165.82,10.11633831,6.69,717,8489.958333,9764,22.7,3,0,0,0
1,debt_consolidation,0.1099,114.58,10.98529272,0.63,697,4890.041667,11279,19.5,1,1,0,0
1,debt_consolidation,0.1253,184.07,10.34161344,15.21,687,1800.0,3795,32.7,0,0,0,0
1,debt_consolidation,0.1632,176.57,11.15625052,16.75,662,1560.0,3901,95.1,0,0,0,0
1,all_other,0.138,81.8,10.77895629,1.35,662,1890.0,3171,77.3,0,0,0,0
0,credit_card,0.1312,202.51,9.392661929,4.4,657,898.9583332999998,5251,49.3,9,0,0,0
0,all_other,0.1166,247.9,11.184421400000002,21.22,702,3689.958333,87698,33.6,1,0,0,0
1,major_purchase,0.0788,469.21,11.74403719,5.94,787,5670.041667,15427,44.7,0,0,0,0
1,debt_consolidation,0.1114,344.44,10.89295439,19.63,732,6720.0,9020,64.4,3,0,0,0
0,debt_consolidation,0.1392,682.74,11.46163217,24.97,712,4050.0,120718,93.7,0,0,0,0
1,all_other,0.0963,96.29,10.32548196,14.4,722,3257.0,277,5.4,2,0,0,0
1,all_other,0.1426,411.67,11.05089001,10.7,677,2040.041667,5849,45.3,1,0,0,0
1,debt_consolidation,0.1348,678.49,10.91508846,10.89,702,4110.041667,15537,81.8,0,0,0,0
0,all_other,0.0807,141.15,9.811372264,3.29,737,1200.0,0,0.0,1,0,0,0
1,educational,0.0976,46.63,11.08214255,7.74,707,3509.041667,20762,48.5,2,0,0,0
1,credit_card,0.1253,281.12,11.8493977,8.36,697,9389.958333,7479,27.8,2,0,0,0
1,debt_consolidation,0.1496,443.46,11.17369743,9.37,672,2940.0,1142,11.8,0,0,0,0
1,home_improvement,0.1347,308.7,11.03495418,7.61,702,8071.0,22493,30.9,1,0,0,0
1,debt_consolidation,0.1322,135.21,9.76995616,14.13,677,5759.958333,9874,62.5,1,0,0,0
1,major_purchase,0.1218,59.94,11.2514568,5.3,692,5729.958333,1836,34.6,1,1,0,0
0,debt_consolidation,0.1071,489.03,11.50287513,8.65,712,8220.0,114516,37.1,7,1,0,0
1,debt_consolidation,0.1148,478.05,10.71441777,16.77,722,7170.041667,17449,55.7,0,0,0,0
1,educational,0.1322,135.21,10.81977828,1.08,702,1770.0,1503,16.3,0,0,0,0
0,all_other,0.128,100.8,11.22524339,3.42,647,3330.0,296,74.0,3,0,1,0
1,all_other,0.1183,424.12,11.56171563,9.71,717,8446.0,31280,51.2,1,0,0,0
1,debt_consolidation,0.1122,157.66,10.30895266,12.36,682,1770.0,12310,86.1,0,0,0,0
0,home_improvement,0.1531,167.12,11.48834585,6.27,662,4860.0,5416,67.7,5,0,1,0
1,debt_consolidation,0.1531,696.31,11.26446411,20.52,722,3300.0,21881,21.8,2,0,0,0
1,debt_consolidation,0.16,351.58,10.73639668,14.3,692,1984.958333,9729,98.3,0,0,0,0
1,all_other,0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0
1,debt_consolidation,0.1392,648.61,11.35040654,12.9,692,7140.958333,7541,82.0,2,0,0,0
0,credit_card,0.1261,50.26,10.1266311,1.87,657,883.0416667000002,1140,47.5,0,0,0,0
1,all_other,0.1496,173.23,10.6281334,4.22,667,1470.0,5116,39.7,2,0,0,0
0,debt_consolidation,0.1982,166.83,10.85892207,23.52,682,4289.958333,5444,37.3,10,0,0,0
1,all_other,0.1357,339.69,11.59873612,21.32,682,4740.0,21476,37.9,2,1,0,0
1,educational,0.1148,82.43,10.46310334,18.62,702,5190.0,8677,57.8,2,0,0,0
1,credit_card,0.1189,296.82,11.15625052,21.24,702,7860.041667,50822,70.0,0,0,0,0
0,educational,0.1505,173.46,10.71441777,9.52,697,1057.0,4840,35.6,2,0,0,0
1,debt_consolidation,0.1496,346.47,10.62132735,16.42,687,6701.041667,16591,15.3,0,1,0,0
1,debt_consolidation,0.1537,261.35,10.71441777,15.84,662,3210.0,5015,85.0,0,0,0,0
0,debt_consolidation,0.1059,195.28,9.903487553,12.9,697,4169.958333,13660,66.0,4,0,0,0
1,debt_consolidation,0.1392,409.65,11.96400108,18.75,702,7110.041667,139636,95.6,0,0,0,0
1,educational,0.0932,47.93,11.08214255,5.94,742,5880.0,2232,38.5,0,0,0,0
1,home_improvement,0.0932,383.37,11.87164831,4.69,792,12433.0,4384,5.0,0,0,0,0
1,debt_consolidation,0.1253,401.6,11.22524339,3.74,722,7500.958333,23762,44.5,2,0,0,0
1,small_business,0.0768,93.57,11.22524339,11.9,752,3210.0,5263,48.7,0,0,0,0
1,debt_consolidation,0.1146,467.99,11.05089001,15.83,727,3660.0,11306,44.7,1,1,0,0
1,debt_consolidation,0.1774,792.47,11.07906088,22.81,662,9329.958333,11328,39.9,2,1,0,0
1,debt_consolidation,0.1218,319.68,10.71441777,3.84,752,1982.041667,0,0.0,5,0,0,0
0,debt_consolidation,0.16,316.42,11.47626148,16.07,667,5370.0,20916,37.2,6,0,0,0
0,debt_consolidation,0.1531,278.53,11.05879518,17.37,667,2313.041667,23600,78.9,4,0,0,0
1,all_other,0.0807,259.58,10.79957558,9.89,772,9870.0,7744,17.1,0,0,0,0
1,debt_consolidation,0.1347,212.02,10.27518903,23.54,687,2820.0,11387,90.4,1,0,0,0
1,debt_consolidation,0.1287,184.99,9.169518377,4.75,692,6270.041667,253,3.2,0,0,0,0
1,debt_consolidation,0.1355,339.6,11.90496755,10.14,662,4620.0,3608,37.6,1,1,0,0
0,debt_consolidation,0.1545,390.73,11.03495418,14.36,647,2490.041667,7897,28.7,6,1,0,0
1,all_other,0.0894,285.95,10.69194491,8.97,747,3907.041667,4051,13.6,1,0,0,0
1,debt_consolidation,0.1531,348.16,10.49127422,14.83,667,1769.9583329999998,6922,74.4,2,0,0,0
1,credit_card,0.138,236.86,10.81977828,20.3,672,3690.0,9344,79.2,1,0,0,0
1,debt_consolidation,0.1103,212.9,10.91508846,11.76,692,2430.0,6565,26.6,1,1,0,0
